date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
2013-03-31,27482,34592,28778,14256.0,1557,106665.0,1500,889,5156,416,355,8316
2013-04-01,28291,36791,30828,14308.0,1659,111877.0,1694,1073,5663,857,249,9536
2013-04-02,29845,36496,30407,14061.0,1594,112403.0,2010,969,5792,601,331,9703
2013-04-03,31321,37155,28887,13563.0,1660,112586.0,2108,793,6514,1142,307,10864
2013-04-04,32182,37303,30916,14520.0,1537,116458.0,2036,1167,5409,1013,383,10008
2013-04-05,32098,37412,30563,14644.0,1435,116152.0,2441,1077,5747,1036,509,10810
2013-04-06,32134,36884,30691,15137.0,1683,116529.0,2696,1079,5832,603,298,10508
2013-04-07,31626,36147,30510,14479.0,1638,114400.0,1870,731,4885,790,262,8538
2013-04-08,32088,38591,30599,15297.0,1520,118095.0,2329,872,6792,611,396,11000
2013-04-09,31665,38095,31129,15028.0,1516,117433.0,4604,979,5629,705,405,12322
2013-04-10,30808,38203,31219,14631.0,1550,116411.0,3831,1016,5418,806,427,11498
2013-04-11,31868,38633,30220,15012.0,1573,117306.0,3365,450,5013,393,401,9622
2013-04-12,33923,38796,31115,14970.0,1539,120343.0,4087,648,6172,669,412,11988
2013-04-13,31574,37248,30500,15137.0,1520,115979.0,2125,355,6142,1327,504,10453
2013-04-14,31555,36351,30337,14426.0,1289,113958.0,1740,214,3797,681,599,7031
2013-04-15,33013,38694,31781,15018.0,1571,120077.0,2820,159,5255,477,215,8926
2013-04-16,32699,38376,31565,14451.0,1587,118678.0,1640,488,5304,300,165,7897
2013-04-17,33092,38544,31071,13676.0,1591,117974.0,3592,328,5288,350,268,9826
2013-04-18,32379,36349,31009,14005.0,1685,115427.0,2726,655,4554,620,230,8785
2013-04-19,32151,35483,30759,11350.0,1617,111360.0,3101,222,5354,400,356,9433
2013-04-20,31480,35015,31028,14164.0,1533,113220.0,2944,233,3415,900,395,7887
2013-04-21,31504,35295,29057,12487.0,1510,109853.0,1280,194,3997,500,406,6377
2013-04-22,33010,35887,30034,14125.0,1625,114681.0,1620,938,5243,470,266,8537
2013-04-23,33560,36940,30248,13722.0,1634,116104.0,1965,653,3864,550,262,7294
2013-04-24,34082,37611,30423,13939.0,1592,117647.0,1963,1120,5699,410,379,9571
2013-04-25,33096,36693,30038,14667.0,1647,116141.0,1410,754,5204,320,319,8007
2013-04-26,34065,37164,29801,15431.0,1671,118132.0,2555,1609,6157,276,311,10908
2013-04-27,34058,38392,29412,15689.0,1465,119016.0,1600,646,4924,84,460,7714
2013-04-28,33487,37184,28344,14863.0,1628,115506.0,1280,364,3197,414,331,5586
2013-04-29,35588,39033,30311,15738.0,1631,122301.0,1552,523,4932,478,260,7745
2013-04-30,35435,38644,31151,14896.0,1651,121777.0,1880,808,6161,906,311,10066
2013-05-01,34057,36542,29384,14749.0,1542,116274.0,1565,197,5153,500,291,7706
2013-05-02,34741,38131,29748,15292.0,1547,119459.0,2020,470,5931,214,375,9010
2013-05-03,34432,38384,31801,14649.0,1574,120840.0,1995,390,4342,205,365,7297
2013-05-04,35515,38457,30451,14379.0,1560,120362.0,1320,614,5042,319,366,7661
2013-05-05,34250,36602,28160,13509.0,1470,113991.0,1760,267,4867,271,315,7480
2013-05-06,36575,38324,29951,13566.0,1630,120046.0,2788,635,5387,674,234,9718
2013-05-07,35637,38653,31505,14906.0,1539,122240.0,2682,764,4931,420,349,9146
2013-05-08,36620,38371,30590,15142.0,1623,122346.0,2410,546,6357,640,301,10254
2013-05-09,37391,38166,31307,15195.0,1638,123697.0,2612,721,4202,558,246,8339
2013-05-10,35562,37943,31238,15307.0,1693,121743.0,2104,634,3686,200,252,6876
2013-05-11,33511,36893,30402,14438.0,1673,116917.0,300,575,2840,100,271,4086
2013-05-12,31988,35131,27675,11476.0,1601,107871.0,103,429,1380,240,289,2441
2013-05-13,35830,37185,31045,13999.0,1613,119672.0,1975,733,3518,260,328,6814
2013-05-14,33972,37225,31174,14147.0,1634,118152.0,1559,757,3363,550,261,6490
2013-05-15,35908,36816,31005,14702.0,1777,120208.0,1656,625,4083,604,220,7188
2013-05-16,36947,37680,30877,13777.0,1605,120886.0,1490,507,3862,503,322,6684
2013-05-17,37801,36206,30997,12966.0,1752,119722.0,1525,644,5217,600,209,8195
2013-05-18,36708,35481,30408,14550.0,1740,118887.0,1505,653,4382,300,226,7066
2013-05-19,35417,35882,29784,12758.0,1755,115596.0,1204,404,3626,300,192,5726
2013-05-20,36740,34720,29544,14466.0,1763,117233.0,1466,574,5400,220,259,7919
2013-05-21,37109,37912,31439,14442.0,1734,122636.0,2410,69,3484,50,307,6320
2013-05-22,37403,37489,30928,15000.0,1594,122414.0,2725,253,3569,433,388,7368
2013-05-23,37679,37773,31002,14222.0,1669,122345.0,2097,252,4058,463,335,7205
2013-05-24,38114,38016,31514,14076.0,1730,123450.0,2371,184,3115,663,273,6606
2013-05-25,38628,37645,30641,14651.0,1733,123298.0,2100,209,3412,460,269,6450
2013-05-26,36543,35923,29312,12591.0,1742,116111.0,1785,194,2700,100,204,4983
2013-05-27,37053,36909,28839,14694.0,1640,119135.0,405,134,3313,167,364,4383
2013-05-28,37577,37095,29518,14348.0,1787,120325.0,1600,134,3060,220,267,5281
2013-05-29,37959,37031,28556,13456.0,1693,118695.0,1155,96,4491,50,380,6172
2013-05-31,37260,37033,28504,12888.0,1776,117461.0,1434,245,3223,800,216,5918
2013-06-01,35972,35960,27662,13670.0,1788,115052.0,1792,424,4493,606,233,7548
2013-06-02,34762,33348,25009,14180.0,1806,109105.0,1900,198,2378,305,218,4999
2013-06-04,37535,34540,28483,14774.0,1816,117148.0,1990,383,3344,415,282,6414
2013-06-05,37972,34809,28404,14872.0,1797,117854.0,1640,552,4211,512,268,7183
2013-06-06,31370,34439,28492,14894.0,1819,111014.0,1383,348,3276,632,246,5885
2013-06-07,36824,33959,28326,13692.0,1664,114465.0,2113,296,3273,336,396,6414
2013-06-08,36770,33832,28038,14541.0,1680,114861.0,1744,311,2667,599,376,5697
2013-06-09,35776,32528,27246,13767.0,1650,110967.0,1464,144,2353,509,366,4836
2013-06-10,38474,33530,29379,14647.0,1829,117859.0,2126,198,3213,500,257,6294
2013-06-11,35631,33714,29020,15065.0,1854,115284.0,1420,136,2546,18,233,4353
2013-06-12,37212,33426,28864,14538.0,1761,115801.0,1495,133,3160,150,324,5262
2013-06-13,34089,33401,28414,14034.0,1682,111620.0,1469,127,2933,93,430,5052
2013-06-14,35709,31994,28324,13975.0,1841,111843.0,1140,138,2546,278,236,4338
2013-06-15,29926,32128,28308,14348.0,1833,106543.0,1424,155,3571,419,237,5806
2013-06-16,28155,29828,27834,13762.0,1782,101361.0,117,144,2447,213,181,3102
2013-06-17,30398,31328,29948,15112.0,1793,108579.0,1652,560,2527,812,282,5833
2013-06-18,34148,32059,30167,14622.0,1769,112765.0,1554,814,2322,326,297,5313
2013-06-19,35684,32267,28727,14301.0,1846,112825.0,1710,632,2353,150,192,5037
2013-06-20,37826,32718,29223,14395.0,1829,115991.0,1012,864,2796,100,256,5028
2013-06-21,38740,33077,29506,15106.0,1806,118235.0,1640,442,2165,0,261,4508
2013-06-22,39059,33200,28503,14393.0,1812,116967.0,1925,341,2715,0,250,5231
2013-06-23,38689,31166,27355,14101.0,1732,113043.0,1660,344,2056,408,255,4723
2013-06-24,39558,33144,28631,14176.0,1728,117237.0,1915,170,2066,798,319,5268
2013-06-25,38900,32343,28726,14443.0,1678,116090.0,3155,244,2036,619,341,6395
2013-06-26,39515,32360,29034,15026.0,1868,117803.0,2590,256,2206,623,215,5890
2013-06-26,39515,32360,29034,15026.0,1868,117803.0,2590,256,2206,623,215,5890
2013-06-27,38010,32041,29138,15093.0,1897,116179.0,1602,447,2161,135,209,4554
2013-06-29,35223,32752,29113,14232.0,1870,113190.0,650,419,2387,0,247,3703
2013-06-30,35225,31262,27400,13626.0,1810,109323.0,1908,303,2147,0,245,4603
2013-07-01,39193,33823,29296,14735.0,1749,118796.0,2545,375,2854,550,281,6605
2013-07-02,38424,34187,29843,14942.0,1835,119231.0,2490,269,3681,727,158,7325
2013-07-03,39350,33806,28260,15193.0,1844,118453.0,2520,324,2354,458,262,5918
2013-07-04,40728,32549,28926,14716.0,1858,118777.0,2077,371,2604,661,236,5949
2013-07-04,40728,32549,28926,14716.0,1858,118777.0,2077,371,2604,661,236,5949
2013-07-05,38838,32527,28899,15454.0,1767,117485.0,4164,459,3387,164,357,8531
2013-07-06,40183,33429,28970,14679.0,1867,119128.0,2660,182,2107,500,243,5692
2013-07-07,38435,32005,26472,14352.0,1848,113112.0,1610,454,1998,151,199,4412
2013-07-08,37768,33644,28900,15525.0,1809,117646.0,1595,370,3198,6,297,5466
2013-07-09,33893,33605,28910,14860.0,1738,113006.0,1746,133,2173,775,308,5135
2013-07-10,37776,32510,28345,14981.0,1811,115423.0,2498,118,2698,311,298,5923
2013-07-11,39729,33002,27812,15007.0,1798,117348.0,2555,162,1374,562,359,5012
2013-07-12,39905,31865,27898,14140.0,1874,115682.0,2563,139,2149,0,257,5108
2013-07-13,41062,31782,28168,15381.0,1906,118299.0,2825,148,1986,113,213,5285
2013-07-14,38955,30531,26248,14663.0,1808,112205.0,2628,188,2039,0,279,5134
2013-07-15,41304,31710,28469,15714.0,1857,119054.0,2402,139,1866,0,289,4696
2013-07-16,40936,31908,28261,15737.0,1899,118741.0,2647,262,2169,5,246,5329
2013-07-17,41353,32687,27628,14858.0,1821,118347.0,3150,345,2253,528,335,6611
2013-07-18,41666,33098,27674,15516.0,1858,119812.0,2553,253,1253,315,291,4665
2013-07-19,41069,32123,26865,15007.0,1873,116937.0,2444,153,1331,668,286,4882
2013-07-20,37191,32701,26940,15356.0,1701,113889.0,1490,143,1866,513,385,4397
2013-07-21,38353,31060,26007,15024.0,1855,112299.0,1890,117,1305,14,242,3568
2013-07-22,39495,32702,27921,15881.0,1867,117866.0,940,145,1750,34,297,3166
2013-07-23,39861,32275,27451,16115.0,1765,117467.0,4223,363,2025,14,331,6956
2013-07-24,40187,32306,27654,15983.0,1828,117958.0,2950,308,1474,0,257,4989
2013-07-25,38326,32238,27709,15540.0,1747,115560.0,3280,303,1639,428,350,6000
2013-07-26,40477,32065,28272,15002.0,1705,117521.0,2718,141,1756,412,421,5448
2013-07-28,38975,29820,26931,14987.0,1865,112578.0,2800,477,1543,650,164,5634
2013-07-29,40398,29217,29627,15211.0,1862,116315.0,3059,283,2042,21,286,5691
2013-07-30,40771,31433,29378,15375.0,1835,118792.0,3869,260,2378,121,301,6929
2013-07-31,40614,31484,28585,15270.0,1856,117809.0,3095,141,1496,350,260,5342
2013-08-01,39717,31404,28910,15510.0,1842,117383.0,3701,117,1629,17,303,5767
2013-08-02,39979,31105,29493,15123.0,1852,117552.0,2678,228,1408,365,245,4924
2013-08-03,40295,31781,28734,15004.0,1761,117575.0,3374,272,1247,327,354,5574
2013-08-04,40036,30262,27826,15072.0,1798,114994.0,2702,363,1061,364,250,4740
2013-08-05,39857,32834,28848,15407.0,1765,118710.0,2828,209,1609,525,325,5496
2013-08-06,37341,32441,29164,15765.0,1868,116579.0,1860,143,1502,22,277,3804
2013-08-07,38997,33402,30195,15705.0,1794,120093.0,1520,219,1745,122,325,3931
2013-08-08,37710,33001,30683,15352.0,1833,118579.0,2050,480,1633,200,305,4668
2013-08-09,38175,31371,29133,15023.0,1777,115479.0,230,478,1713,0,368,2789
2013-08-10,37627,32364,28777,15371.0,1849,115988.0,1970,457,1992,303,229,4951
2013-08-11,37742,31093,27680,14815.0,1736,113066.0,1910,172,2132,383,274,4871
2013-08-12,38704,33147,29080,15668.0,1855,118454.0,1875,200,4224,656,251,7206
2013-08-14,38935,33138,29906,15898.0,1858,119735.0,2165,226,2010,525,250,5176
2013-08-15,32420,30149,28318,14633.0,1858,107378.0,2155,194,975,34,242,3600
2013-08-16,35002,32751,29522,15568.0,1878,114721.0,1930,370,1260,250,260,4070
2013-08-17,34582,32955,29040,15205.0,1860,113642.0,1850,328,750,100,287,3315
2013-08-18,34264,31554,27773,14764.0,1832,110187.0,1400,336,634,467,246,3083
2013-08-19,36228,32493,23694,14356.0,1860,108631.0,2080,328,687,315,290,3700
2013-08-20,34029,29999,30620,14910.0,1854,111412.0,2510,339,600,415,290,4154
2013-08-21,35185,31637,30549,14283.0,1855,113509.0,2140,685,712,536,250,4323
2013-08-22,36966,32136,31255,14649.0,1866,116872.0,2612,1487,664,727,272,5762
2013-08-23,36320,32853,31672,14761.0,1843,117449.0,2925,1146,690,759,315,5835
2013-08-24,38528,32726,32275,15778.0,1902,121209.0,2816,936,735,115,282,4884
2013-08-25,39621,31094,30412,15123.0,1735,117985.0,1965,615,710,0,293,3583
2013-08-26,40138,33598,32926,15461.0,1760,123883.0,2604,720,855,575,336,5090
2013-08-27,41003,33556,33131,15707.0,1816,125213.0,1603,690,1098,506,324,4221
2013-08-30,39436,34904,31425,15326.0,1803,122894.0,2689,1282,2394,300,309,6974
2013-08-31,39405,35661,31262,15134.0,1889,123351.0,2938,1047,1548,200,291,6024
2013-09-01,39560,34189,29588,15469.0,1821,120627.0,3735,725,654,313,287,5714
2013-09-02,40970,36253,30879,15350.0,1819,125271.0,3524,799,1914,0,322,6559
2013-09-03,40514,36710,32465,15156.0,1872,126717.0,4329,857,880,495,217,6778
2013-09-04,40376,37019,31791,15518.0,1852,126556.0,4716,1351,909,417,291,7684
2013-09-05,40383,36564,32135,16083.0,1820,126985.0,4252,955,801,468,335,6811
2013-09-06,40817,36863,32205,15881.0,1769,127535.0,4930,903,1081,513,409,7836
2013-09-07,39426,37197,30257,15675.0,1885,124440.0,3203,1312,958,200,273,5946
2013-09-08,39460,35890,28277,14840.0,1842,120309.0,1955,1019,719,200,285,4178
2013-09-09,41009,36944,28929,15842.0,1906,124630.0,2370,228,754,114,298,3764
2013-09-10,40368,38423,30333,15538.0,1869,126531.0,3802,551,593,13,331,5290
2013-09-11,41980,38495,30328,15632.0,1816,128251.0,2915,240,652,411,369,4587
2013-09-12,41656,38925,29323,15976.0,1870,127750.0,3151,745,180,785,313,5174
2013-09-13,42097,37697,30073,14866.0,1833,126566.0,3013,172,640,285,370,4480
2013-09-15,32861,36354,27981,15646.0,1888,114730.0,2419,64,522,163,262,3430
2013-09-16,38767,37948,30009,15428.0,1899,124051.0,2355,77,487,110,278,3307
2013-09-17,39571,37908,28859,14752.0,1853,122943.0,2342,85,511,0,218,3156
2013-09-18,41259,35614,29787,14841.0,1935,123436.0,2008,98,495,28,244,2873
2013-09-19,41601,37819,30282,15530.0,1899,127131.0,2353,153,511,504,280,3801
2013-09-21,37210,35830,29240,15651.0,1976,119906.0,2320,104,488,618,221,3751
2013-09-22,37009,33014,28639,15394.0,1890,115945.0,2340,208,448,620,244,3860
2013-09-24,38424,34137,28161,15922.0,1901,118545.0,2200,174,712,48,299,3433
2013-09-25,37797,32746,28341,15643.0,1850,116377.0,2343,482,697,65,289,3876
2013-09-26,38964,33739,32666,15826.0,1854,123049.0,2255,415,390,324,335,3719
2013-09-27,38530,33996,33001,13817.0,1845,121189.0,2968,164,1120,913,399,5564
2013-09-28,37926,33787,31859,14655.0,1590,119817.0,2135,405,503,532,623,4198
2013-09-29,35611,33855,30398,14573.0,1754,116191.0,2268,173,663,500,387,3991
2013-09-30,37758,34830,32501,14665.0,1914,121668.0,2425,541,803,0,259,4028
2013-10-01,36854,34587,32080,15369.0,1855,120745.0,2989,562,1259,29,272,5111
2013-10-02,35862,34164,30041,15161.0,1883,117111.0,2330,380,980,308,255,4253
2013-10-03,37864,34819,31344,15804.0,1885,121716.0,2560,415,1198,0,274,4447
2013-10-04,34856,34100,29342,15457.0,1828,115583.0,2290,275,2753,0,280,5598
2013-10-05,35851,35759,30108,14914.0,1846,118478.0,2356,132,2886,368,302,6044
2013-10-06,35557,35046,28639,14962.0,1796,116000.0,2715,112,1767,312,305,5211
2013-10-07,36489,36711,29900,15467.0,1871,120438.0,3209,215,4520,300,277,8521
2013-10-08,37862,35496,29538,15978.0,1898,120772.0,2639,117,3699,300,242,6997
2013-10-09,38246,35724,30114,15722.0,1943,121749.0,3078,98,3137,150,175,6638
2013-10-10,38385,35564,31086,16202.0,1996,123232.0,2769,107,1546,78,195,4695
2013-10-11,34003,35390,31705,15644.0,2013,118755.0,2487,83,1350,0,181,4101
2013-10-12,34786,34492,29977,11917.0,1926,113098.0,2048,104,1471,25,129,3777
2013-10-13,31385,30913,27727,9418.0,1835,101278.0,1530,75,1219,900,155,3879
2013-10-14,34404,34062,30028,10580.0,1873,110947.0,2123,490,1615,1200,116,5544
2013-10-16,35201,35984,30156,13972.0,1966,117279.0,3562,153,2681,436,100,6932
2013-10-17,35528,36633,31073,14913.0,1971,120118.0,2335,131,2457,0,142,5065
2013-10-18,35991,36966,30708,15228.0,1914,120807.0,2275,98,2774,0,205,5352
2013-10-19,34495,37161,30192,15061.0,1960,118869.0,2345,326,2538,515,171,5895
2013-10-20,33108,35626,29322,14712.0,1859,114627.0,2415,297,939,307,273,4231
2013-10-21,34203,36930,29768,14667.0,1857,117425.0,2405,453,1351,615,267,5091
2013-10-22,33721,37452,29450,14912.0,1764,117299.0,1995,394,1233,259,307,4188
2013-10-23,33770,37442,29613,14969.0,1919,117713.0,2405,701,1012,308,171,4597
2013-10-24,33465,36975,29075,15239.0,1914,116668.0,2615,616,1069,250,182,4732
2013-10-25,33895,37112,29041,14634.0,1894,116576.0,2545,395,1130,0,174,4244
2013-10-26,33690,37132,28832,14305.0,1899,115858.0,1905,564,1178,100,171,3918
2013-10-27,32373,36178,27900,13959.0,1854,112264.0,1157,586,1073,0,153,2969
2013-10-28,32706,37555,30651,15134.0,1894,117940.0,2761,616,1193,0,179,4749
2013-10-29,33993,37498,29635,14869.0,1861,117856.0,2275,614,2391,453,175,5908
2013-10-30,33011,38395,30344,15144.0,1863,118757.0,2175,732,2511,0,162,5580
2013-10-31,33431,39233,31191,14731.0,1817,120403.0,2682,92,1136,400,261,4571
2013-11-01,35285,38037,29905,14979.0,1920,120126.0,1355,107,1089,250,84,2885
2013-11-02,35365,36651,27253,15136.0,1945,116350.0,390,94,837,150,139,1610
2013-11-03,34367,32875,26253,15007.0,1913,110415.0,220,72,1313,0,85,1690
2013-11-04,32978,32515,28759,15182.0,1930,111364.0,180,66,1191,600,120,2157
2013-11-05,32584,33339,30835,14970.0,1863,113591.0,1420,101,1259,100,117,2997
2013-11-06,32573,34792,30871,14819.0,1939,114994.0,1423,340,1217,800,96,3876
2013-11-07,32331,36550,29623,15194.0,1862,115560.0,1771,330,3032,308,183,5624
2013-11-08,32899,36329,31173,14765.0,1916,117082.0,1755,282,2302,350,96,4785
2013-11-09,33062,35223,30650,14649.0,1875,115459.0,2205,465,2491,300,119,5580
2013-11-10,30528,34506,29391,13773.0,1779,109977.0,2205,408,1751,150,147,4661
2013-11-11,32910,35839,30226,14485.0,1828,115288.0,2090,421,2686,400,149,5746
2013-11-12,33448,37760,30929,14132.0,1713,117982.0,1755,401,2253,362,314,5085
2013-11-13,33595,37244,29914,13856.0,1878,116487.0,1895,561,3244,5,145,5850
2013-11-14,32562,36661,29540,13758.0,1735,114256.0,2213,435,3332,831,286,7097
2013-11-15,32480,37046,30145,13614.0,1786,115071.0,1776,295,2935,800,289,6095
2013-11-16,33414,37964,28870,14330.0,1836,116414.0,1605,512,1659,304,168,4248
2013-11-17,32063,36273,27742,14145.0,1813,112036.0,855,512,1772,200,120,3459
2013-11-18,32984,35798,29108,14759.0,1716,114365.0,1760,408,2384,0,265,4817
2013-11-19,33504,37952,29765,14969.0,1769,117959.0,1760,567,2792,200,213,5532
2013-11-20,33414,38336,29246,14880.0,1802,117678.0,2197,678,3249,250,194,6568
2013-11-21,33662,36944,28780,14287.0,1803,115476.0,2318,776,3780,450,153,7477
2013-11-22,33529,36814,29003,13831.0,1742,114919.0,2397,824,3336,953,284,7794
2013-11-23,33550,38425,28710,14597.0,1765,117047.0,2409,748,3230,550,216,7153
2013-11-24,31993,36045,27425,13830.0,1866,111159.0,2427,585,2053,300,86,5451
2013-11-25,32829,37159,29372,14419.0,1819,115598.0,2987,836,2835,350,213,7221
2013-11-26,33980,38304,29589,14849.0,1797,118519.0,2566,766,3269,200,221,7022
2013-11-27,34209,39417,29465,14859.0,1897,119847.0,2302,639,3201,0,117,6259
2013-11-28,33819,38533,29331,14149.0,1874,117706.0,2701,620,3032,250,134,6737
