date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
27-Jan-19,39341,40755,38501,17337,2313,138247,731,0,0,0,9,740
27-Oct-18,44213,52233,44428,19923,2514,163311,1263,0,120,262,58,1703
1-Nov-18,43321,51504,44587,20069,2480,161961,412,0,0,380,44,836
13-May-18,47196,47190,38463,20658,2320,155827,494,0,0,0,90,584
7-Jun-18,52651,46033,39841,20868,2544,161937,970,215,0,0,146,1331
11-Aug-18,55802,47389,41116,21271,2702,168279,1682,0,0,0,149,1831
18-Dec-18,44722,47018,39283,17243,2351,150617,483,0,0,0,61,544
21-Jul-18,53887,42506,39790,19992,2596,158771,870,0,0,0,271,1141
18-Mar-19,39952,44606,43170,17040,2382,132864,467,0,0,0,54,521
15-Dec-18,44218,47077,41468,17711,2401,152875,594,0,0,126,42,762
15-Mar-19,40886,47261,47162,17886,2479,155674,811,0,0,0,22,833
2-Dec-18,42644,47768,39746,17896,2413,150467,529,0,0,100,85,714
1-Aug-18,53183,45769,41611,19801,2637,163001,845,36,0,0,72,953
3-May-18,38255,47100,41919,17503,2017,146794,571,0,0,0,287,858
23-Feb-19,42736,47584,44410,18639,2428,155797,527,0,0,0,36,563
28-Apr-18,46959,47985,42463,19323,2382,159112,1037,24,0,0,110,1170
5-Dec-18,42921,48234,41278,17688,2446,152567,526,0,0,92,15,633
11-Nov-18,40052,43509,42086,18940,2400,146987,478,0,200,260,21,959
25-Apr-18,45253,48189,40992,20591,2358,157383,1399,107,0,350,212,2068
8-Mar-19,41529,47781,45489,17014,2450,154263,1041,0,0,0,41,1082
27-Sep-18,46676,50827,42446,20212,2615,162776,799,521,136,1064,133,2653
8-Dec-18,42326,48655,40234,17645,2433,151293,630,0,0,137,27,794
21-Nov-18,42236,49243,40835,18142,2419,152875,770,0,0,0,35,805
17-Sep-18,52330,49172,40589,20507,2648,165246,550,0,0,650,22,1222
15-Apr-18,41719,45411,42296,19301,2085,150811,882,11,0,0,268,1161
1-Jul-18,51848,44274,39142,19210,2599,157073,1346,227,0,0,159,1733
27-Jun-18,55021,43976,40240,19091,2715,161043,1133,64,0,0,91,1288
10-Sep-18,46329,43636,41730,20746,2412,154853,466,125,225,404,247,1467
31-Aug-18,55239,45412,41878,20918,2757,166204,896,0,730,800,117,2543
13-Feb-19,42545,47644,43588,17708,2486,153971,537,236,0,0,40,813
7-Jan-19,43666,45357,37943,17583,2338,146887,568,0,0,108,27,703
7-Oct-18,47725,53252,42083,21672,2639,167371,1593,0,83,600,133,2409
28-Mar-19,41407,49600,46904,20805,2314,161030,597,0,0,0,193,790
11-Jul-18,59897,43670,38111,20442,2609,164728,1915,0,0,0,174,2089
5-Apr-18,44005,46572,44379,18754,2499,156209,895,11,0,100,95,1101
28-Dec-18,46675,47925,41312,17792,2410,156114,791,0,0,0,39,830
7-Sep-18,49024,45755,44120,19091,2681,160671,912,0,496,185,198,1791
8-Apr-18,41079,44460,43189,15089,2472,146290,1750,0,33,0,57,1840
20-Apr-18,45593,47301,42638,20711,2389,158632,610,0,0,0,130,740
25-Mar-19,39362,45629,42644,19742,2366,149743,598,0,0,110,41,749
25-Dec-18,45962,48065,41042,17872,2383,155324,687,0,0,0,34,721
17-Oct-18,46823,54229,41403,19691,2496,164642,1268,201,0,0,74,1543
17-Jan-19,46747,47513,37304,18073,2385,152022,727,258,0,285,30,1300
3-Feb-19,45034,47033,40549,18148,2457,153221,746,0,0,0,39,785
21-Aug-18,56157,43753,38744,20482,2674,161810,869,0,0,520,197,1586
23-May-18,51535,49282,41145,20136,2442,164540,1350,194,0,0,149,1693
26-Mar-19,41093,48678,46648,20613,2306,159338,629,0,0,0,210,839
26-Dec-18,44819,47911,40497,18168,2319,153714,572,0,0,0,16,588
9-Sep-18,49668,45575,43518,20707,2687,162155,734,0,335,775,119,1963
12-Jul-18,57383,43309,36923,20645,2661,160921,1264,0,0,0,153,1417
6-Apr-18,44182,47451,43693,19203,2170,156700,969,58,0,0,247,1275
4-Sep-18,48490,41140,42601,21175,2665,156071,501,0,275,150,129,1055
19-Oct-18,47451,48422,37043,19238,2254,154408,514,0,75,0,29,618
18-Apr-18,44438,44926,43653,18664,2380,154061,2647,43,330,0,106,3125
22-Aug-18,57304,42795,40172,21577,2704,164552,652,0,0,100,153,905
19-Jan-19,47296,47672,40171,18715,2404,156258,637,0,0,0,26,663
20-May-18,47522,48908,39071,20910,2432,158843,528,144,0,0,160,832
14-Oct-18,46779,53352,42005,19448,2426,164010,872,0,10,0,127,1009
14-Sep-18,52421,48009,42064,20728,2574,165796,747,248,0,100,92,1187
16-Apr-18,40288,42792,38559,19942,2223,143804,898,0,0,0,96,994
2-Jul-18,50570,42118,37382,18026,2546,150643,702,41,0,0,105,848
22-Nov-18,41901,49355,39666,18964,2422,152308,523,0,0,0,34,557
19-Sep-18,55650,51889,42837,21575,2731,174682,759,261,0,380,94,1494
29-Jun-18,46042,43089,39593,18765,2680,150168,990,104,0,0,90,1184
10-Feb-19,41332,46115,42040,16642,2379,148508,861,0,0,0,90,951
4-Jan-19,45758,47824,41563,16750,2432,154327,1203,0,33,0,29,1265
4-Oct-18,47886,52616,41332,22647,2620,167101,1762,0,20,718,74,2574
9-Jan-19,47177,48795,40517,17963,2357,156809,584,0,0,0,27,611
30-May-18,51455,49195,40714,20904,2470,164739,426,36,0,0,172,634
24-Jun-18,57496,44311,39295,20448,2643,164193,1994,85,0,0,169,2248
9-Oct-18,46834,53844,41558,22239,2523,166998,2224,466,350,486,167,3693
20-Feb-19,43422,46851,44514,17012,2375,154174,581,0,0,0,39,620
19-Jun-18,48379,46679,40152,21607,2549,159366,514,89,0,0,151,754
2-Aug-18,53562,45647,41600,19322,2655,162786,933,0,0,0,97,1030
14-Jun-18,52749,45198,39588,20884,2373,160792,533,142,0,0,296,970
24-Sep-18,40319,44826,40552,21177,2605,149479,451,0,0,664,98,1213
6-Mar-19,41139,47520,45762,16901,2282,153604,1173,0,0,0,181,1354
29-Sep-18,47318,50412,41710,21185,2667,163292,1363,238,0,1060,137,2798
6-Dec-18,43373,48652,40135,17362,2334,151856,575,0,0,0,24,599
12-Nov-18,40210,44040,39421,18703,2297,144671,458,0,0,130,38,626
10-May-18,44172,48015,39617,20062,1927,153793,655,143,0,500,381,1679
4-Jun-18,49026,43879,34664,19404,2521,149493,866,96,0,0,76,1038
23-Oct-18,43545,53367,42721,19683,2512,161828,1582,311,0,0,109,2002
29-Jan-19,43155,46572,40273,18257,2422,150679,1490,0,0,129,38,1657
12-Aug-18,54621,46884,38562,20952,2642,163661,1070,0,0,0,209,1279
29-Oct-18,40935,49752,41066,18702,2278,152733,460,0,0,0,90,550
24-Jan-19,44579,47291,41182,18043,2349,153444,548,0,0,0,53,601
9-Jun-18,52531,46261,38876,19601,2742,160011,634,55,17,0,106,811
24-Oct-18,43719,53634,43055,20492,2477,163377,1158,314,0,665,52,2189
2-Nov-18,42538,51290,42713,20430,2413,159384,337,0,200,414,125,1076
16-Dec-18,44675,48450,41151,17934,2415,154625,583,0,0,0,60,643
16-Mar-19,41330,47387,46148,17794,2455,155114,1001,0,0,0,64,1065
5-Sep-18,50750,43982,43713,21193,2774,162412,830,0,783,300,125,2038
14-Nov-18,41824,47630,42959,18756,2427,153596,475,0,0,0,39,514
22-Jul-18,50098,42623,39494,18368,2603,153186,638,0,50,0,162,850
19-Nov-18,38371,47393,36696,17478,2278,142216,571,0,0,240,19,830
12-Jun-18,52348,45531,39649,19375,2593,159496,369,32,0,0,110,511
6-May-18,45034,48346,40244,20499,2309,156433,1464,377,136,0,138,2115
4-Aug-18,54872,47198,41923,20115,2623,166731,1171,32,25,150,150,1528
10-Mar-19,41034,47394,45059,17214,2443,153144,1215,339,50,0,48,1652
29-Jul-18,47143,43440,42367,20106,2663,155720,1257,0,0,100,165,1522
10-Dec-18,42233,46025,37676,16789,2336,145059,562,0,0,0,25,587
30-Apr-18,44756,45193,39874,18493,2219,150535,524,34,0,0,118,676
24-Jul-18,51541,41153,40783,19392,2464,155333,1205,0,0,200,269,1674
9-Nov-18,35952,39737,40048,19939,2439,138115,410,0,26,0,52,488
14-Aug-18,53724,47376,38686,21126,2676,163588,840,0,0,250,150,1240
16-May-18,46957,47911,40033,19788,1991,156680,699,71,0,0,420,1190
19-Aug-18,52740,44486,38888,21902,2723,160739,1583,0,0,350,176,2109
22-Oct-18,41870,50989,39091,20237,2418,154605,1272,237,0,0,45,1554
22-Jan-19,39327,47632,40318,17950,2342,147569,720,0,60,204,32,1016
26-May-18,52247,48260,39173,20613,2389,162682,1131,130,0,0,184,1445
24-Aug-18,53031,43568,41389,21993,2657,162638,624,88,0,185,148,1045
12-Jan-19,47014,47939,41791,18123,2408,157275,700,0,0,335,54,1089
6-Feb-19,44519,47902,41679,17943,2344,154387,445,0,0,0,102,547
12-Oct-18,45251,53572,42950,19278,2418,163469,704,75,500,0,182,1461
29-Aug-18,52931,43998,39848,20770,2705,160252,831,0,0,434,149,1414
26-Feb-19,42685,47731,44943,16814,2419,154592,547,0,0,0,70,617
20-Dec-18,45913,47605,40768,17713,2389,154388,594,0,0,355,56,1005
19-Jul-18,53510,41704,40110,21068,2694,159086,1068,153,0,300,202,1723
20-Mar-19,42642,48418,46861,20031,2374,160326,772,20,0,0,151,943
2-Sep-18,53512,43923,41233,20903,2708,162279,762,0,0,294,123,1179
14-Jul-18,51167,42029,37949,19947,2575,153667,1274,0,149,0,123,1545
2-Oct-18,48358,51908,40526,21384,2685,164861,1402,0,540,1414,126,3482
16-Feb-19,42345,45221,42783,17500,2457,150306,587,0,50,0,37,674
2-Jan-19,45737,45720,38540,17423,2314,149734,609,0,0,167,11,787
19-Apr-18,45386,46933,43192,19878,2341,157730,550,0,0,0,164,714
22-Jun-18,55723,44661,40154,19250,2602,162390,1653,105,0,0,228,1986
10-Apr-18,39115,45796,42773,17876,2417,147978,860,0,0,0,91,951
4-Jul-18,51697,42219,40130,19407,2506,155960,822,42,0,0,212,1076
29-Nov-18,42716,48491,40620,18217,2426,152470,496,0,0,0,50,546
31-Jul-18,50430,45130,44094,19759,2621,162033,540,327,0,150,117,1134
12-Sep-18,51350,48952,44423,21185,2504,168414,1088,0,20,350,137,1595
9-Jul-18,55492,41337,36097,18973,2581,154480,1004,0,0,0,107,1111
30-Mar-19,43293,50027,47147,20879,2576,163922,500,0,0,0,79,579
24-Nov-18,42311,48513,38934,18260,2399,150417,610,0,0,100,43,753
30-Dec-18,45767,46906,40766,17955,2422,153816,646,0,0,89,28,763
18-Feb-19,40254,43675,40190,16266,2076,142461,498,0,0,0,244,742
21-Jun-18,55134,46871,41331,19338,2686,165360,1014,101,0,0,82,1197
1-Oct-18,47097,50160,40038,20778,2553,160626,486,25,0,935,117,1563
15-Feb-19,42018,47265,42988,17965,2426,152662,581,0,0,0,58,639
1-Jan-19,45890,46715,41005,18304,2396,154310,727,0,0,0,51,778
1-Apr-18,39729,45295,43733,17912,2260,148929,834,0,0,89,103,1026
27-Nov-18,42328,49598,39832,18007,2416,152181,513,0,0,215,13,741
13-Apr-18,41808,46545,44288,16935,2366,151943,549,0,0,0,157,706
11-Sep-18,50229,47731,42453,20513,2564,163490,809,34,270,770,118,2001
28-May-18,50804,46927,37379,19485,2319,156913,994,105,0,0,184,1282
11-Jan-19,46246,48500,41883,18063,2449,157141,762,0,0,0,26,788
5-Feb-19,43973,47414,41240,17752,2487,152866,470,0,0,0,36,506
11-Oct-18,47561,53653,43538,20536,2501,167789,1987,82,0,427,111,2607
8-Feb-19,37224,46570,42665,18005,2454,146918,374,0,0,0,40,414
25-May-18,51706,48342,40382,21790,2380,164601,418,12,0,0,190,620
27-Aug-18,48860,38766,36720,19818,2568,146732,1154,0,0,160,103,1417
1-Sep-18,55210,44361,42618,21407,2669,166265,609,0,0,270,231,1110
17-Jul-18,53146,41052,38085,20196,2618,155098,1334,0,0,0,145,1479
22-Dec-18,45760,47864,41561,16986,2407,154578,771,0,0,389,21,1181
9-Aug-18,50514,46753,38440,21019,2691,159418,1863,0,33,600,159,2655
23-Dec-18,44736,48021,40645,17342,2369,153113,427,0,0,106,64,597
23-Mar-19,38345,45455,47572,18359,2257,151988,754,0,0,0,63,817
27-Jul-18,46394,41581,41914,19306,2669,151864,962,0,230,0,142,1334
13-Mar-19,41737,48609,45241,17917,2442,155946,1186,99,0,0,59,1344
7-Nov-18,41960,47451,38564,20541,2403,150919,448,0,200,150,59,857
13-Dec-18,43061,48000,41924,17940,2411,153336,594,0,66,300,22,982
21-Oct-18,43573,53016,40830,19798,2431,159648,1544,170,20,200,25,1959
21-Jan-19,42786,45785,37336,17262,2339,145508,775,0,83,232,42,1132
18-May-18,47604,48569,39640,19808,2379,158000,576,107,0,260,176,1120
17-Aug-18,55369,45589,36706,21488,2676,161828,1599,0,0,0,99,1698
15-May-18,44665,46940,37620,18127,2361,149713,931,34,0,0,95,1060
1-Jun-18,53325,47940,38779,19566,2523,162132,1262,1316,0,0,95,2673
3-Dec-18,40953,45822,36767,17790,2308,143640,510,0,0,0,44,554
17-Nov-18,41976,47804,40368,19110,2371,151629,489,0,0,0,51,540
3-Mar-19,42142,47050,44947,17111,2439,153689,1314,2,0,0,71,1387
21-Sep-18,54580,51513,43070,19436,2697,171296,512,0,0,0,144,656
23-Apr-18,42805,44520,38756,20118,2308,148507,505,0,0,0,106,611
11-Jun-18,47087,42577,35160,20123,2402,147349,657,20,17,0,235,928
5-May-18,46103,47659,39666,19997,2104,155529,964,128,0,0,236,1328
28-Feb-19,42750,46510,45059,15422,2307,152048,842,0,0,0,82,924
7-Aug-18,51622,47621,41632,20762,2692,164329,976,0,30,100,145,1251
31-Jan-19,45377,47185,41557,18427,2408,154954,1084,0,0,0,56,1140
25-Feb-19,40086,44366,41271,17162,2326,145211,603,325,0,0,76,1004
8-May-18,45951,48159,41198,20971,2189,158468,807,71,0,0,198,1076
31-Oct-18,43028,51613,44053,19718,2451,160863,457,0,370,610,61,1498
10-Oct-18,47069,53645,43165,22142,2602,168623,1612,253,0,861,105,2831
4-Feb-19,42261,44989,38621,17186,2404,145461,544,0,0,0,41,585
10-Jan-19,46734,48343,40753,17741,2319,155890,727,0,0,100,95,922
29-May-18,53441,49057,40385,19476,2478,164837,1000,59,0,0,173,1232
26-Aug-18,52272,43743,41599,21094,2697,161405,674,0,0,203,119,996
24-May-18,51846,48781,39735,20713,2267,163342,1824,120,0,0,264,2208
30-Jun-18,47900,42593,40283,19337,2626,152739,1146,156,15,0,186,1503
9-Feb-19,41341,45882,42960,16319,2344,148846,701,0,0,0,105,806
2-Apr-18,42215,41524,38591,14086,2081,138497,1047,0,0,0,136,1183
16-Jul-18,52981,39630,34925,19175,2597,149308,1090,0,0,0,102,1192
22-Mar-19,36025,36992,45714,18217,2259,139207,437,0,0,0,69,506
20-Jun-18,50401,46402,40564,21008,2695,161070,1042,78,0,0,82,1202
19-Feb-19,42465,46304,44082,17163,2394,152408,557,0,0,0,77,634
14-Feb-19,44106,47716,42912,17524,2454,154712,608,0,0,0,34,642
26-Nov-18,39396,47248,36542,17180,2290,142656,481,0,0,160,39,680
6-Jul-18,52403,43543,41275,19750,2567,159538,504,0,0,0,146,650
12-Apr-18,38543,46252,43609,18856,2208,149468,860,34,0,0,210,1104
2-Mar-19,43710,46506,44951,16086,2451,153704,1109,0,0,0,31,1140
16-Nov-18,42885,49259,42577,18993,2392,156106,531,0,0,200,99,830
22-Apr-18,45163,47055,43374,19238,2256,157087,478,0,0,0,131,609
20-Sep-18,54747,51822,42823,21397,2596,173385,837,49,0,611,230,1727
6-Aug-18,52269,45258,38685,19838,2646,158696,637,0,0,0,135,772
10-Jun-18,42754,43909,37593,20452,2617,147325,426,51,0,0,190,667
7-Apr-18,35531,46798,43987,19542,2360,148218,490,0,0,0,97,587
30-Oct-18,43561,52230,41825,19638,2404,159658,376,0,0,300,105,781
9-May-18,45787,48150,40250,20222,2166,156576,567,96,0,130,249,1042
24-Feb-19,43071,47915,43385,17952,2450,154773,575,0,0,0,58,633
30-Jan-19,45047,46902,40892,18292,2247,153380,1002,200,0,0,164,1366
30-Sep-18,48516,51610,42175,21274,2617,166192,920,233,0,700,155,2008
26-Jul-18,49075,41660,42301,19795,2688,155519,693,0,0,0,116,809
12-Dec-18,43896,48149,42347,17801,2417,154610,566,0,-33,220,48,801
6-Nov-18,45082,49868,41149,20024,2357,158480,485,0,0,585,108,1178
12-Mar-19,40949,47862,46561,17516,2454,155342,1403,0,218,0,69,1690
19-May-18,50167,47580,40434,18647,2434,159262,550,173,0,213,147,1083
20-Jan-19,46421,48249,39718,18147,2436,154971,876,0,0,267,29,1172
